,phrase,label,sentiment,subjectivity,language,count
Venezuela,Venezuela,LOC,0.07052390677590901,0.16971130772990045,fr,437
Minneapolis,Minneapolis,LOC,0.029190491037624798,0.15171093944979286,fr,314
Ukraine,Ukraine,LOC,0.06458676457095368,0.1918215726998454,fr,173
Washington,Washington,LOC,0.07401508077060026,0.1698085282322295,fr,154
Algérie,Algérie,LOC,0.09858056152303941,0.13867758470634575,fr,113
France,France,LOC,0.12140159764477944,0.17339688417642962,fr,110
Caracas,Caracas,LOC,0.06421529795961609,0.18166724689451968,fr,110
Russie,Russie,LOC,0.05336106113843446,0.14780425749426915,fr,101
Maison Blanche,Maison Blanche,LOC,0.06913169462116832,0.15284379655432284,fr,95
Etats,Etats,LOC,0.06911525693442364,0.1697930455347122,fr,90
Paris,Paris,LOC,0.11713656918017383,0.142663453471593,fr,86
Minnesota,Minnesota,LOC,0.03127176170549664,0.22765923333694424,fr,83
Américains,Américains,LOC,0.05860161659691072,0.15496115450997802,fr,75
New York,New York,LOC,0.10368285147392292,0.17583900226757368,fr,70
Moscou,Moscou,LOC,0.03938454927425515,0.13936373108751626,fr,69
Los Angeles,Los Angeles,LOC,0.060694444444444454,0.18671916971916966,fr,65
Oslo,Oslo,LOC,0.10911702127659578,0.22239361702127658,fr,47
Europe,Europe,LOC,0.07583542062859963,0.16131174158896308,fr,47
Groenland,Groenland,LOC,0.10962969855347904,0.22329838454228693,fr,41
Floride,Floride,LOC,0.10313812265950424,0.20559985153735158,fr,38
fonctionneme,fonctionneme,LOC,0.24528647741147744,0.18808515680226204,fr,38
la France,la France,LOC,0.11430614195745777,0.13496831019857333,fr,38
État,État,LOC,0.10584347442680775,0.17881924402757735,fr,36
DIRECT,DIRECT,LOC,0.0935105958855959,0.16402296777296774,fr,33
Européens,Européens,LOC,0.0501742800737108,0.12672924008313005,fr,31
Tropez,Tropez,LOC,0.03195501165501166,0.10819834609834614,fr,30
Iran,Iran,LOC,0.0994722222222222,0.1730119047619048,fr,30
Amérique,Amérique,LOC,0.06884846079846081,0.1401633597883598,fr,30
Etat,Etat,LOC,0.05939880952380953,0.16769345238095237,fr,28
Saint,Saint,LOC,0.04728853289567574,0.12854839803054094,fr,28
Londres,Londres,LOC,0.035617656153370446,0.12891491445062875,fr,28
Mediapart,Mediapart,LOC,0.24917751435806992,0.20352049699271918,fr,27
Kremlin,Kremlin,LOC,0.11335388274277168,0.17771872160761043,fr,27
Royaume-Uni,Royaume-Uni,LOC,0.08149539349539349,0.21508380508380506,fr,26
Kiev,Kiev,LOC,0.023294793169793163,0.13810373075998075,fr,24
Alger,Alger,LOC,0.09717857142857142,0.12024327122153211,fr,23
Matignon,Matignon,LOC,0.09534205287466156,0.19909917980570155,fr,23
Français,Français,LOC,0.10877805653942016,0.09808777712186804,fr,22
Élysée,Élysée,LOC,0.15531477272727276,0.1928712121212121,fr,20
Bruxelles,Bruxelles,LOC,0.1294714285714286,0.19519227994227992,fr,20
Cest,Cest,LOC,0.06390631618381618,0.23178404095904095,fr,20
Elysée,Elysée,LOC,0.10974374999999999,0.1307638888888889,fr,20
La France,La France,LOC,0.08127169913419914,0.1408587662337662,fr,20
Hollywood,Hollywood,LOC,0.07015277777777777,0.2268055555555556,fr,18
Brésil,Brésil,LOC,0.04088566468253968,0.47923983134920634,fr,16
Allemagne,Allemagne,LOC,0.09414583333333333,0.18267113095238094,fr,16
Unis,Unis,LOC,0.06619389880952381,0.1561264880952381,fr,16
Californie,Californie,LOC,0.08069444444444443,0.24538888888888882,fr,15
Norvège,Norvège,LOC,0.07996031746031745,0.20707936507936509,fr,15
Gaza,Gaza,LOC,0.15295873015873013,0.1417460317460317,fr,15
Berlin,Berlin,LOC,0.06749860509860509,0.10182708032708031,fr,15
lICE,lICE,LOC,0.022647212047212047,0.16183557183557182,fr,15
USA,USA,LOC,0.024647305075876504,0.16536283359497642,fr,14
Américaine,Américaine,LOC,0.042879739308310745,0.17784413998699716,fr,14
Canada,Canada,LOC,0.08072927072927073,0.13830336330336332,fr,13
Chine,Chine,LOC,0.040311965811965805,0.1746611721611722,fr,13
Colombie,Colombie,LOC,0.0922728937728938,0.14285714285714285,fr,13
Tizi Ouzou,Tizi Ouzou,LOC,0.1337137445887446,0.13658549783549784,fr,12
États,États,LOC,0.0709854878917379,0.11096242877492879,fr,12
Suisse,Suisse,LOC,0.059755291005291,0.14289682539682538,fr,12
Var,Var,LOC,-0.014340277777777783,0.14715277777777777,fr,12
Américain,Américain,LOC,0.0218829365079365,0.26642857142857146,fr,12
Danemark,Danemark,LOC,0.10497395081770082,0.15338675444925445,fr,12
Marseille,Marseille,LOC,0.04412121212121212,0.11969696969696969,fr,11
Turquie,Turquie,LOC,0.07856565656565656,0.1480808080808081,fr,11
Ukrainiens,Ukrainiens,LOC,0.041334120425029514,0.15618686868686868,fr,11
de France,de France,LOC,0.1626017316017316,0.16474025974025974,fr,11
Hélicoïde,Hélicoïde,LOC,0.03273376623376623,0.10644480519480518,fr,11
la Chine,la Chine,LOC,0.0890878787878788,0.11468282828282825,fr,10
Caraïbes,Caraïbes,LOC,0.06360185185185185,0.1376388888888889,fr,9
Vatican,Vatican,LOC,0.21359788359788362,0.151005291005291,fr,9
Belgique,Belgique,LOC,0.062263888888888896,0.17055555555555554,fr,9
Royaume,Royaume,LOC,0.17227160493827162,0.1698148148148148,fr,9
AP,AP,LOC,0.05753703703703704,0.21449074074074076,fr,9
Venezuela ,Venezuela ,LOC,0.0781480278980279,0.17724025974025973,fr,9
Capitole,Capitole,LOC,0.04722222222222222,0.1824074074074074,fr,9
Mexique,Mexique,LOC,0.07664285714285715,0.14953463203463205,fr,8
Russes,Russes,LOC,0.04047549019607843,0.11645536244800951,fr,8
Téhéran,Téhéran,LOC,0.07744791666666667,0.21686755952380954,fr,8
Monde »,Monde »,LOC,0.09908639705882354,0.16208639705882355,fr,8
Cour suprême,Cour suprême,LOC,0.12313333333333333,0.19325,fr,8
Cuba,Cuba,LOC,0.027378472222222228,0.21397569444444445,fr,8
Unis ,Unis ,LOC,0.0001344246031746016,0.07602777777777778,fr,8
Belém,Belém,LOC,-0.10026530612244898,1.057551020408163,fr,7
Vénézuéliens,Vénézuéliens,LOC,-0.04247619047619049,0.11155102040816325,fr,7
Alpes,Alpes,LOC,-0.0026666666666666666,0.049523809523809526,fr,7
Genève,Genève,LOC,0.00785714285714286,0.17805555555555555,fr,7
Pékin,Pékin,LOC,0.05981632653061225,0.16560997732426302,fr,7
lessentiel,lessentiel,LOC,-0.026564625850340137,0.22230442176870752,fr,7
Kennedy Center,Kennedy Center,LOC,0.06904761904761904,0.09897959183673473,fr,7
Donetsk,Donetsk,LOC,-0.036507936507936496,0.15476190476190474,fr,6
Israël,Israël,LOC,0.15095370370370373,0.5115488215488214,fr,6
Nuuk,Nuuk,LOC,0.1557222222222222,0.11933333333333333,fr,6
Manhattan,Manhattan,LOC,0.07993055555555556,0.15461309523809524,fr,6
Maison,Maison,LOC,-0.0028888888888888853,0.14527777777777776,fr,6
Maduro ,Maduro ,LOC,0.019380952380952384,0.16642857142857143,fr,6
États-Unis,États-Unis,LOC,0.016825396825396827,0.10238095238095236,fr,6
Afrique du Sud,Afrique du Sud,LOC,-0.004738095238095245,0.13813492063492064,fr,6
"SIPA
Commenter
 ","SIPA
Commenter
 ",LOC,0.03159722222222222,0.23368055555555556,fr,6
Davos,Davos,LOC,0.0581868686868687,0.1655892255892256,fr,6
Koupiansk,Koupiansk,LOC,-0.016170634920634926,0.15119047619047618,fr,6
Quai d’Orsay,Quai d’Orsay,LOC,0.09296296296296297,0.12333333333333335,fr,6
Espagne,Espagne,LOC,-0.036581196581196594,0.2620726495726496,fr,6
Angleterre,Angleterre,LOC,0.2056527777777778,0.21925925925925926,fr,6
Miami,Miami,LOC,0.12241666666666666,0.26033333333333336,fr,5
Italie,Italie,LOC,0.034333333333333334,0.2524603174603175,fr,5
Britannique,Britannique,LOC,0.11763333333333334,0.07466666666666667,fr,5
Argentine,Argentine,LOC,0.11637777777777777,0.12744444444444444,fr,5
Kabylie,Kabylie,LOC,0.059857142857142866,0.01595238095238095,fr,5
lÉtat,lÉtat,LOC,0.05424761904761903,0.2050793650793651,fr,5
Blanche,Blanche,LOC,0.012000000000000002,0.13541666666666666,fr,5
Rwanda,Rwanda,LOC,0.0109,0.05375,fr,5
Bercy,Bercy,LOC,0.06438095238095239,0.18092063492063495,fr,5
Silicon Valley,Silicon Valley,LOC,0.0598,0.05499999999999999,fr,5
limmigration,limmigration,LOC,0.03262258852258852,0.10781623931623932,fr,5
Maduro,Maduro,LOC,0.14079999999999998,0.19366666666666665,fr,5
Arte,Arte,LOC,0.41600000000000004,0.3,fr,5
Sansal,Sansal,LOC,0.10729999999999999,0.21400000000000002,fr,5
