,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,MISC,,,fr,353
États-Unis,États-Unis,MISC,4.433734199134201,8.779111090298594,fr,125
Etats-Unis,Etats-Unis,MISC,0.9557171122528263,2.352688878581735,fr,88
Affaire Epstein ,Affaire Epstein ,MISC,,,fr,82
Orient,Orient,MISC,,,fr,80
Trump,Trump,MISC,,,fr,78
Guerre au Moyen,Guerre au Moyen,MISC,,,fr,45
Jeune Garde,Jeune Garde,MISC,,,fr,43
LFI,LFI,MISC,,,fr,41
Jean,Jean,MISC,,,fr,40
Premier ministre,Premier ministre,MISC,,,fr,40
Moyen,Moyen,MISC,1.0287371933621934,2.1251723484848486,fr,38
Moyen-Orient,Moyen-Orient,MISC,,,fr,36
Premier ministre hongrois,Premier ministre hongrois,MISC,,,fr,27
Guerre en Iran ,Guerre en Iran ,MISC,,,fr,26
Melania Trump,Melania Trump,MISC,,,fr,23
lAssemblée,lAssemblée,MISC,,,fr,22
Premier,Premier,MISC,,,fr,22
Maison-Blanche,Maison-Blanche,MISC,2.1035396825396826,5.943523809523809,fr,22
administration Trump,administration Trump,MISC,,,fr,21
X,X,MISC,,,fr,20
Congrès,Congrès,MISC,,,fr,20
Hongrois,Hongrois,MISC,0.5435496031746033,1.6464900793650794,fr,18
Epstein,Epstein,MISC,0.34219444444444447,0.7962708333333334,fr,17
lInstitut,lInstitut,MISC,,,fr,17
ICE,ICE,MISC,,,fr,14
Guerre en Iran,Guerre en Iran,MISC,,,fr,14
Ça,Ça,MISC,,,fr,14
Elections,Elections,MISC,,,fr,11
BRUNO AMSELLEM,BRUNO AMSELLEM,MISC,,,fr,10
Facebook,Facebook,MISC,,,fr,10
Premier ministre israélien,Premier ministre israélien,MISC,,,fr,10
Premier ministre sortant,Premier ministre sortant,MISC,,,fr,10
NPR,NPR,MISC,,,fr,10
DIVERGENCE,DIVERGENCE,MISC,,,fr,10
Justice,Justice,MISC,,,fr,9
Epstein Files,Epstein Files,MISC,0.2489047619047619,0.3070535714285714,fr,9
No Kings,No Kings,MISC,,,fr,9
Pâques,Pâques,MISC,,,fr,9
Le Premier ministre,Le Premier ministre,MISC,,,fr,9
"Google Actualités
","Google Actualités
",MISC,,,fr,8
Fonction publique,Fonction publique,MISC,,,fr,8
guerre en Iran,guerre en Iran,MISC,,,fr,7
lUkraine,lUkraine,MISC,,,fr,7
Euphoria,Euphoria,MISC,0.2766666666666667,2.291666666666667,fr,7
HuffPost,HuffPost,MISC,,,fr,7
La Jeune Garde,La Jeune Garde,MISC,,,fr,7
FR,FR,MISC,,,fr,7
Alert,Alert,MISC,,,fr,7
"DIRECT, guerre en Ukraine ","DIRECT, guerre en Ukraine ",MISC,,,fr,7
Congrès américain,Congrès américain,MISC,,,fr,7
La guerre en Iran,La guerre en Iran,MISC,,,fr,7
C,C,MISC,,,fr,6
