,phrase,label,sentiment,subjectivity,language,count
Michele Singer,Michele Singer,PER,0.11737654320987657,0.26327160493827156,fr,27
Nick Reiner,Nick Reiner,PER,0.08896997929606625,0.14245341614906828,fr,23
Quand Harry,Quand Harry,PER,0.06569588744588745,0.2639664502164502,fr,22
Michele Reiner,Michele Reiner,PER,0.048202380952380955,0.18966269841269842,fr,18
Michele Singer Reiner,Michele Singer Reiner,PER,-0.031466049382716056,0.2101543209876543,fr,9
Laurent Delahousse,Laurent Delahousse,PER,0.18698148148148147,0.23805555555555558,fr,9
Laurent Vinatier,Laurent Vinatier,PER,-0.02431547619047619,-0.027529761904761904,fr,8
Chappell Roan,Chappell Roan,PER,0.13147619047619047,0.13904761904761906,fr,7
Delcy Rodriguez,Delcy Rodriguez,PER,0.13916666666666666,0.14583333333333334,fr,6
Susie Wiles,Susie Wiles,PER,0.0619047619047619,0.21904761904761907,fr,6
Sherlock Holmes,Sherlock Holmes,PER,0.16940952380952382,0.2282857142857143,fr,5
So Foot,So Foot,PER,0.04691666666666668,0.036166666666666666,fr,5
INFO BFMTV,INFO BFMTV,PER,0.07745833333333332,0.12041666666666666,fr,5
Cilia Flores,Cilia Flores,PER,0.16209294871794871,0.1684294871794872,fr,5
Lidia Yuknavitch,Lidia Yuknavitch,PER,0.2566666666666667,0.18333333333333335,fr,4
Viktor Orban,Viktor Orban,PER,0.13627777777777778,0.14993055555555557,fr,4
Félix Tshisekedi,Félix Tshisekedi,PER,-0.053437500000000006,0.1653125,fr,4
MARK SCHIEFELBEIN,MARK SCHIEFELBEIN,PER,-0.07522916666666667,0.15927083333333336,fr,4
Thierry Ardisson,Thierry Ardisson,PER,-0.019035714285714295,0.12535714285714286,fr,4
María Corina Machado,María Corina Machado,PER,0.0925,0.24375,fr,4
Franck Haise,Franck Haise,PER,0.12250000000000001,0.025,fr,4
Mehdi Kessaci,Mehdi Kessaci,PER,0.012333333333333328,0.10416666666666666,fr,4
Kirill Dmitriev,Kirill Dmitriev,PER,0.19064814814814812,0.1851851851851852,fr,3
Alexander Stubb,Alexander Stubb,PER,0.13555555555555554,0.12777777777777777,fr,3
Idris Elba,Idris Elba,PER,0.25092592592592594,0.2811111111111111,fr,3
Marie Le Pen,Marie Le Pen,PER,0.004296296296296298,0.07037037037037037,fr,3
Iouri Ouchakov,Iouri Ouchakov,PER,0.04373015873015873,0.11190476190476191,fr,3
Mette Frederiksen,Mette Frederiksen,PER,0.10810606060606061,0.09128787878787877,fr,3
Yann LeCun,Yann LeCun,PER,0.05548076923076924,0.21298076923076925,fr,3
Amélie de Montchalin,Amélie de Montchalin,PER,0.14181818181818182,0.12212121212121212,fr,3
Isaac Asimov,Isaac Asimov,PER,0.3499999999999999,0.3499999999999999,fr,3
Letitia James,Letitia James,PER,-0.05904761904761905,0.15476190476190477,fr,3
Annie Genevard,Annie Genevard,PER,0.09649999999999999,0.1475,fr,3
Inter Miami,Inter Miami,PER,0.024097222222222225,0.17777777777777778,fr,3
Prisca Thévenot,Prisca Thévenot,PER,0.10000000000000002,0.08749999999999998,fr,3
Spike Lee,Spike Lee,PER,-0.022222222222222223,0.18333333333333335,fr,3
Arnaud Benedetti,Arnaud Benedetti,PER,0.0,0.0,fr,3
Benyamin Nétanyahou,Benyamin Nétanyahou,PER,0.23571428571428568,0.19285714285714284,fr,3
affaire Epstein,affaire Epstein,PER,0.11095238095238096,0.35714285714285715,fr,3
Emmanuel Daoud,Emmanuel Daoud,PER,0.10611111111111111,0.036111111111111115,fr,3
Paul Watson,Paul Watson,PER,0.10833333333333335,0.16083333333333333,fr,3
Paul Christophe,Paul Christophe,PER,0.1799074074074074,0.22777777777777783,fr,3
Pascal Confavreux,Pascal Confavreux,PER,-0.02666666666666666,0.14444444444444443,fr,3
Michel Piccoli,Michel Piccoli,PER,0.1848148148148148,0.1814814814814815,fr,3
Éric Roy,Éric Roy,PER,0.06666666666666667,0.0,fr,3
Lawrence Summers,Lawrence Summers,PER,0.065,0.11249999999999999,fr,3
James Bond,James Bond,PER,0.2677777777777778,0.35555555555555557,fr,3
laffaire Epstein,laffaire Epstein,PER,0.05255555555555555,0.21222222222222223,fr,3
Stephen Amell,Stephen Amell,PER,0.19999999999999998,0.3,fr,3
Riyad Mahrez,Riyad Mahrez,PER,-0.245,0.075,fr,3
Gene Hackman,Gene Hackman,PER,0.06288888888888888,0.15888888888888889,fr,3
Pierre de Rome,Pierre de Rome,PER,0.155,0.05,fr,2
Rustem Umerov,Rustem Umerov,PER,0.06888888888888889,0.08888888888888888,fr,2
lissue dune,lissue dune,PER,0.02577777777777778,0.09555555555555556,fr,2
Princess Bride,Princess Bride,PER,0.18599999999999997,0.325,fr,2
Michael Jackson,Michael Jackson,PER,0.06439393939393939,0.24734848484848487,fr,2
Claude Leroy,Claude Leroy,PER,0.11333333333333333,0.2833333333333334,fr,2
Imran Ahmed,Imran Ahmed,PER,0.012000000000000002,0.06999999999999999,fr,2
Rockstar Édimbourg,Rockstar Édimbourg,PER,0.18142857142857144,0.1285714285714286,fr,2
Pedro Sanchez,Pedro Sanchez,PER,0.09118055555555556,0.21111111111111114,fr,2
Mireille Mathieu,Mireille Mathieu,PER,0.12392857142857144,0.15267857142857144,fr,2
Kimberley Bort,Kimberley Bort,PER,0.2248214285714286,0.20535714285714288,fr,2
Georges Clouzot,Georges Clouzot,PER,0.22666666666666666,0.36666666666666664,fr,2
Raphaël Glucksmann,Raphaël Glucksmann,PER,0.062291666666666676,0.18125,fr,2
Xavier Bertrand,Xavier Bertrand,PER,0.060000000000000005,0.23666666666666672,fr,2
Marilyn Monroe,Marilyn Monroe,PER,0.18750000000000003,0.24666666666666665,fr,2
John Coale,John Coale,PER,0.07157142857142858,0.15285714285714286,fr,2
Prince Harry,Prince Harry,PER,0.08,0.1,fr,2
Philippe Diallo,Philippe Diallo,PER,0.2933333333333333,0.20833333333333334,fr,2
Roustem Oumerov,Roustem Oumerov,PER,0.172,0.18,fr,2
Robert Redford,Robert Redford,PER,-0.027500000000000007,0.1,fr,2
Robert Dedouaire,Robert Dedouaire,PER,0.17333333333333334,0.225,fr,2
David Lynch,David Lynch,PER,-0.038571428571428576,0.08571428571428573,fr,2
Leo Messi,Leo Messi,PER,-0.16666666666666666,0.16666666666666666,fr,2
Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,PER,0.25042857142857144,0.3028571428571429,fr,2
Bertrand Venteau,Bertrand Venteau,PER,0.40125,0.26249999999999996,fr,2
Susan Wiles,Susan Wiles,PER,0.20666666666666667,0.355,fr,2
Kathy Bates,Kathy Bates,PER,0.54,0.55,fr,2
Eric Idle,Eric Idle,PER,1.3877787807814457e-17,0.1,fr,2
Candace Owens,Candace Owens,PER,0.2,0.0,fr,2
Green Arrow,Green Arrow,PER,0.19999999999999998,0.3,fr,2
Quincy Jones,Quincy Jones,PER,-0.015000000000000005,0.1375,fr,2
Roland Lescure,Roland Lescure,PER,0.15375,0.16999999999999998,fr,2
Dan Driscoll,Dan Driscoll,PER,0.1665714285714286,0.18928571428571428,fr,2
François Mitterrand,François Mitterrand,PER,0.1863636363636364,0.25727272727272726,fr,2
Pavel Durov,Pavel Durov,PER,0.2,0.0,fr,2
Mike White,Mike White,PER,0.2,0.0,fr,2
Delcy Rodríguez,Delcy Rodríguez,PER,0.392,0.26999999999999996,fr,2
Kristen Stewart ,Kristen Stewart ,PER,0.2566666666666667,0.18333333333333335,fr,2
Jeremy Corbyn,Jeremy Corbyn,PER,-0.158,0.33,fr,2
Ronald Hicks,Ronald Hicks,PER,0.17285714285714285,0.2,fr,2
Kaja Kallas,Kaja Kallas,PER,0.017777777777777785,0.12222222222222223,fr,2
Nasry Asfura,Nasry Asfura,PER,0.003333333333333332,0.05000000000000001,fr,2
Timothy Dolan,Timothy Dolan,PER,0.17285714285714285,0.2,fr,2
Blaise Metreweli,Blaise Metreweli,PER,0.04692307692307693,0.12307692307692307,fr,2
Michelle Singer,Michelle Singer,PER,-0.096,0.18,fr,2
Patrick Morrisey,Patrick Morrisey,PER,-0.073125,0.145625,fr,2
José Antonio Kast,José Antonio Kast,PER,0.06283333333333334,0.09333333333333332,fr,2
Scarlett Johansson,Scarlett Johansson,PER,0.21400000000000002,0.34,fr,2
