,phrase,label,sentiment,subjectivity,language,count
Sécurité sociale,Sécurité sociale,ORG,0.1128625228937729,0.14118714618714615,fr,66
Assemblée nationale,Assemblée nationale,ORG,0.06595617669367669,0.2098284430846931,fr,60
SNCF,SNCF,ORG,0.11935088522588527,0.1128856133183057,fr,52
Rachida Dati,Rachida Dati,ORG,0.0442511446886447,0.1612029914529914,fr,52
PS,PS,ORG,0.07319670035846505,0.15708892088303852,fr,51
Assemblée,Assemblée,ORG,0.09718922140661271,0.237740973398582,fr,46
RN,RN,ORG,0.046744298690727264,0.1303537666037666,fr,42
»,»,ORG,0.10750748325748329,0.1326771376771377,fr,39
Parti socialiste,Parti socialiste,ORG,0.040090377458798516,0.2713581878647668,fr,38
AFP,AFP,ORG,0.06933040610183468,0.14316031746031743,fr,35
Parlement,Parlement,ORG,0.18054593827889281,0.19038310048537319,fr,33
Sénat,Sénat,ORG,0.09124695616883118,0.14718107413419912,fr,32
RATP,RATP,ORG,0.12793816137566139,0.12020222832722832,fr,24
Rassemblement national,Rassemblement national,ORG,0.07816274350649349,0.29124879749879745,fr,24
Sécu,Sécu,ORG,0.09816508722758721,0.14474312724312724,fr,24
Républicains,Républicains,ORG,0.06705809468309468,0.10273853040898494,fr,22
France Inter,France Inter,ORG,0.09697304210940576,0.1543713105076742,fr,22
PLFSS,PLFSS,ORG,0.12902392580964006,0.1607121344264201,fr,21
Chambre des représentants,Chambre des représentants,ORG,0.07820878856593143,0.23176106301106303,fr,21
Mercosur,Mercosur,ORG,0.09829603174603176,0.1432321428571429,fr,20
ministre de l’Intérieur,ministre de l’Intérieur,ORG,-0.014628151260504206,0.09631302521008403,fr,17
Libé,Libé,ORG,0.091140522875817,0.13303921568627453,fr,17
ministère de la Justice,ministère de la Justice,ORG,0.15761429542679545,0.2107616341991342,fr,16
Libération,Libération,ORG,0.09013541666666668,0.1413541666666667,fr,16
ministre de la Culture,ministre de la Culture,ORG,-0.017789947089947092,0.10960158730158734,fr,15
