,phrase,label,sentiment,subjectivity,language,count
Sébastien Lecornu,Sébastien Lecornu,PER,0.1360855051082746,0.1565464402903994,fr,269
Boualem Sansal,Boualem Sansal,PER,0.11732046425796422,0.17010819319569337,fr,260
Emmanuel Macron,Emmanuel Macron,PER,0.0909868285057309,0.17049968471005056,fr,246
Christophe Gleizes,Christophe Gleizes,PER,0.0977832043842682,0.12553728777133033,fr,141
Jeffrey Epstein,Jeffrey Epstein,PER,0.09042907829681086,0.2465594671263277,fr,129
Donald Trump,Donald Trump,PER,0.06718788754818168,0.19690341902106617,fr,102
Maria Corina Machado,Maria Corina Machado,PER,0.06996428571428569,0.21715390279823277,fr,97
Volodymyr Zelensky,Volodymyr Zelensky,PER,0.04616928544706321,0.13596522990041507,fr,81
Steve Witkoff,Steve Witkoff,PER,0.09346393387134128,0.14891973081787896,fr,81
Laurent Nuñez,Laurent Nuñez,PER,0.046432285307285305,0.14315806878306878,fr,78
Lecornu II,Lecornu II,PER,0.12395885788093584,0.16874861466095234,fr,77
Vladimir Poutine,Vladimir Poutine,PER,0.07542821661998132,0.1534571979001391,fr,75
Nicolas Sarkozy,Nicolas Sarkozy,PER,0.061089936755952395,0.11628013392857145,fr,64
Charles III,Charles III,PER,0.07512957138347756,0.15403039885461764,fr,64
Philippe Aghion,Philippe Aghion,PER,0.1285391471403375,0.12487679516250945,fr,63
Zohran Mamdani,Zohran Mamdani,PER,0.10806048659901121,0.25428963522816,fr,61
Pierre Farandou,Pierre Farandou,PER,0.09765846560846557,0.15425767195767198,fr,60
Nicolas Maduro,Nicolas Maduro,PER,0.057933212267958015,0.1861908797417272,fr,59
prince Andrew,prince Andrew,PER,0.0812141274904433,0.2415303726487937,fr,57
Léon XIV,Léon XIV,PER,0.13916943027210887,0.15904017857142863,fr,56
Bruno Retailleau,Bruno Retailleau,PER,0.08170957553976421,0.16433493288681966,fr,53
Jean Castex,Jean Castex,PER,0.14164130096483035,0.12954607484019257,fr,51
Dick Cheney,Dick Cheney,PER,0.04905208333333333,0.1453839285714286,fr,48
Sanae Takaichi,Sanae Takaichi,PER,0.13668559276371778,0.20224296536796535,fr,48
Olivier Faure,Olivier Faure,PER,0.09640300882692188,0.3522622359524533,fr,46
JULIEN MUGUET,JULIEN MUGUET,PER,0.07614438837129053,0.11770898033126297,fr,46
Michel Devoret,Michel Devoret,PER,0.3070672603362821,0.10301579459188157,fr,46
Lecornu II ,Lecornu II ,PER,0.12207469698323359,0.16697578843920308,fr,41
Yves Bournazel,Yves Bournazel,PER,0.02652635327635327,0.11062678062678064,fr,39
Gabriel Attal,Gabriel Attal,PER,0.049161238761238776,0.3569810837310837,fr,39
Gérald Darmanin,Gérald Darmanin,PER,0.07267328358775728,0.1468937495253284,fr,38
John Clarke,John Clarke,PER,0.2972935305435305,0.08514790764790765,fr,33
Elon Musk,Elon Musk,PER,0.09976957671957676,0.20718121693121697,fr,30
Cristiano Ronaldo,Cristiano Ronaldo,PER,0.22268333333333334,0.2341111111111111,fr,30
