keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Ro Khanna',fr,unknown,#111111,#111111,2,0.503135573439
'Rob Reiner',fr,unknown,#111111,#111111,3,0.494768607720
'Nicolás Maduro',fr,unknown,#111111,#111111,3,0.489394415990
'Woody Allen',fr,unknown,#111111,#111111,2,0.488421643564
'Brigitte Bardot',fr,unknown,#111111,#111111,3,0.482477299012
'Olivier Faure',fr,Frankreich,#e8e808,#e8e808,3,0.481465894877
'Ghislaine Maxwell',fr,unknown,#111111,#111111,3,0.480883393354
'Affaire Epstein',fr,unknown,#111111,#111111,3,0.480194394907
'Kamel Daoud',fr,unknown,#111111,#111111,2,0.480184375691
'Jean Castex',fr,Frankreich,#e8e808,#e8e808,2,0.479877321468
'reine Mathilde',fr,unknown,#111111,#111111,2,0.479755892217
'Dick Cheney',fr,USA,#18e8e8,#18e8e8,2,0.479439419594
'Larry Summers',fr,unknown,#111111,#111111,3,0.479270656092
'Thomas Müller',fr,unknown,#111111,#111111,1,0.477607550974
'Volodymyr Zelensky',fr,Ukraine,#e818e8,#e818e8,3,0.477357733762
'Tucker Carlson',fr,USA,#18e8e8,#18e8e8,3,0.477146759281
'Gérald Darmanin',fr,Frankreich,#e8e808,#e8e808,3,0.475879575976
'Elon Musk',fr,USA,#18e8e8,#18e8e8,3,0.475759142292
'Andrew Windsor',fr,unknown,#111111,#111111,1,0.475757348780
'Steve Bannon',fr,unknown,#111111,#111111,1,0.474037988626
'Christophe Gleizes',fr,unknown,#111111,#111111,3,0.473427768050
'Emmanuel Macron',fr,Frankreich,#e8e808,#e8e808,3,0.473192562448
'Édouard Philippe',fr,Frankreich,#e8e808,#e8e808,3,0.469248849151
'prince Andrew',fr,unknown,#111111,#111111,3,0.467109591244
'Vladimir Poutine',fr,Russland,#e81818,#e81818,3,0.467078969573
'Philippe Aghion',fr,Frankreich,#e8e808,#e8e808,2,0.465930439463
'Sébastien Lecornu',fr,Frankreich,#e8e808,#e8e808,3,0.464351310062
'Thorsten Frei',fr,Deutschland,#335599,#335599,2,0.460871259250
'JULIEN MUGUET',fr,Frankreich,#e8e808,#e8e808,3,0.459013546067
'Gabriel Attal',fr,Frankreich,#e8e808,#e8e808,3,0.456843269640
'Michel Barnier',fr,Frankreich,#e8e808,#e8e808,3,0.456764818400
'John Clarke',fr,USA,#18e8e8,#18e8e8,3,0.456207952827
'Boris Vallaud',fr,Frankreich,#e8e808,#e8e808,3,0.455475076842
'Nicolas Maduro',fr,unknown,#111111,#111111,3,0.454273108094
'Mary E. Brunkow',fr,USA,#18e8e8,#18e8e8,3,0.453720094772
'Hailey Bieber',fr,USA,#18e8e8,#18e8e8,2,0.453093851415
'Larry David',fr,unknown,#111111,#111111,2,0.452357208233
'Jeffrey Epstein',fr,USA,#18e8e8,#18e8e8,2,0.451730204716
'Laurent Nuñez',fr,Frankreich,#e8e808,#e8e808,3,0.451539764963
'Richard Robson',fr,Australien,#aa9933,#aa9933,1,0.450946694000
'Zohran Mamdani',fr,USA,#18e8e8,#18e8e8,2,0.449380633374
'Nicolas Sarkozy',fr,Frankreich,#e8e808,#e8e808,3,0.449359088991
'Andrew Cuomo',fr,USA,#18e8e8,#18e8e8,3,0.449197570525
'Sergio Mattarella',fr,Italien,#33dd55,#33dd55,2,0.447946641298
'Karsten Wildberger',fr,Deutschland,#335599,#335599,2,0.447877483614
'Michel Devoret',fr,Frankreich,#e8e808,#e8e808,2,0.447734405841
'Karoline Leavitt',fr,unknown,#111111,#111111,3,0.446817341324
'Stephen Colbert',fr,USA,#18e8e8,#18e8e8,3,0.444815655762
'Bad Bunny',fr,PuertoRico,#18a567,#18a567,1,0.444683249054
'Pierre Farandou',fr,Frankreich,#e8e808,#e8e808,3,0.444066782960
'Maria Corina Machado',fr,Venezuela,#aa3399,#aa3399,3,0.443024318069
'Bruno Retailleau',fr,Frankreich,#e8e808,#e8e808,3,0.441193325982
'Léon XIV',fr,Vatikan,#dd5544,#dd5544,3,0.440509592569
'Boualem Sansal',fr,Algerien,#f43a7f,#f43a7f,3,0.440410348011
'Keir Starmer',fr,unknown,#111111,#111111,2,0.440144647586
'Donald Trump',fr,USA,#18e8e8,#18e8e8,3,0.439918205176
'Abdelmadjid Tebboune',fr,unknown,#111111,#111111,2,0.439185006695
'Marine Le Pen',fr,Frankreich,#e8e808,#e8e808,3,0.438949308023
'Rachida Dati',fr,Frankreich,#e8e808,#e8e808,3,0.438860213576
'président de la République',fr,Frankreich,#e8e808,#e8e808,3,0.436747577088
'François Bayrou',fr,Frankreich,#e8e808,#e8e808,3,0.435928683158
'Fred Ramsdel',fr,USA,#18e8e8,#18e8e8,1,0.435844606955
'Kendrick Lamar',fr,USA,#18e8e8,#18e8e8,1,0.435261738560
'Marco Rubio',fr,USA,#18e8e8,#18e8e8,3,0.435140429373
'Usha Vance',fr,unknown,#111111,#111111,1,0.434924441652
'Charlie Kirk',fr,USA,#18e8e8,#18e8e8,3,0.434658085954
'Pam Bondi',fr,unknown,#111111,#111111,2,0.434480266287
'Gerald Darmanin',fr,Frankreich,#e8e808,#e8e808,2,0.434467599199
'Bezalel Smotrich',fr,Israel,#3311cc,#3311cc,3,0.433975359068
'RFK Jr',fr,USA,#18e8e8,#18e8e8,1,0.433842013072
'Rosa Parks',fr,USA,#18e8e8,#18e8e8,2,0.433543954333
'Andrew Mountbatten-Windsor',fr,unknown,#111111,#111111,1,0.433451712814
'Peter Howitt',fr,USA,#18e8e8,#18e8e8,1,0.433306936263
'Yves Bournazel',fr,Frankreich,#e8e808,#e8e808,2,0.433038650513
'Susumu Kitagawa',fr,Japan,#33aa99,#33aa99,1,0.432776572270
'Joy Reid',fr,unknown,#111111,#111111,1,0.432760259415
'Ian Machado Garry',fr,unknown,#111111,#111111,1,0.432253222026
'Pete Hegseth',fr,USA,#18e8e8,#18e8e8,3,0.432047715745
'Ben Shapiro',fr,unknown,#111111,#111111,1,0.431974036422
'Bill Maher',fr,unknown,#111111,#111111,1,0.431788174780
'Justin Bieber',fr,Kanada,#55ee33,#55ee33,2,0.431485890178
'Kamaru Usman',fr,unknown,#111111,#111111,1,0.431339545692
'Andrew Mountbatten Windsor',fr,unknown,#111111,#111111,1,0.431195094082
'Arman Tsarukyan',fr,unknown,#111111,#111111,1,0.430885991557
'Omar Yaghi',fr,Jordanien,#335588,#335588,2,0.430819754240
'Callum Turner',fr,UK,#e838e8,#e838e8,2,0.430742441075
'Mark Carney',fr,Kanada,#55ee33,#55ee33,3,0.430676866032
'Nawaz Sharif',fr,Pakistan,#bb33ff,#bb33ff,2,0.430631873479
'Bruna Ferreira',fr,unknown,#111111,#111111,2,0.430626612059
'JD Vance',fr,USA,#18e8e8,#18e8e8,2,0.430553931521
'Ciryl Gane',fr,unknown,#111111,#111111,1,0.430433435222
'Robert Kennedy',fr,USA,#18e8e8,#18e8e8,3,0.430353257073
'Benyamin Netanyahou',fr,Israel,#3311cc,#3311cc,2,0.430234863249
'Robert de Niro',fr,USA,#18e8e8,#18e8e8,3,0.429991504132
'Nancy Pelosi',fr,unknown,#111111,#111111,1,0.429824530134
'Yaël Braun-Pivet',fr,Frankreich,#e8e808,#e8e808,3,0.429691390517
'Hillary Clinton',fr,USA,#18e8e8,#18e8e8,3,0.429592450782
'Islam Makhachev',fr,unknown,#111111,#111111,1,0.429584561170
'Jen Psaki',fr,unknown,#111111,#111111,1,0.429555676079
'Belal Muhammad',fr,unknown,#111111,#111111,1,0.429288850765
'Whoopi Goldberg',fr,USA,#18e8e8,#18e8e8,1,0.429119676187
'James Gunn',fr,USA,#18e8e8,#18e8e8,2,0.428913624453
'Prince Philip',fr,unknown,#111111,#111111,1,0.428596754697
'Christian Dürr',fr,Deutschland,#335599,#335599,1,0.428593246867
'Daniel Cormier',fr,unknown,#111111,#111111,1,0.428554483793
'Justin Gaethje',fr,unknown,#111111,#111111,1,0.428501196318
'Francis Ngannou',fr,unknown,#111111,#111111,1,0.428233219510
